LGA,Neighbourhood,Latitude,Longitude
Agege,Isale/Idimangoro,6.611174,3.322951
Agege, Oniwaya,6.618026,3.320924
Agege, Agbotikuyo,6.618338,3.310019
Agege, Oyewole,6.620841,3.306352
Agege, Okekoto,6.62738,3.318414
Agege, Darocha,6.615606,3.335016
Agege, Tabon,6.630756,3.320554
Agege, Orile Agege,6.629921,3.309959
Agege, Isale Odo,6.628451,3.306851
Ajeromi/Ifelodun,Ago Hausa,6.456518,3.344338
Ajeromi/Ifelodun, Awodi-Ora,6.455213,3.332837
Ajeromi/Ifelodun, Wilmer,6.444535,3.327719
Ajeromi/Ifelodun, Olodi,6.448975,3.334226
Ajeromi/Ifelodun, Ojo Road,6.45978,3.331454
Ajeromi/Ifelodun, Layeni,6.465407,3.346453
Ajeromi/Ifelodun, Alaba Oro,6.467683,3.335248
Ajeromi/Ifelodun, Mosafejo,6.469174,3.345031
Alimosho,Shasha,6.588457,3.301825
Alimosho, Egbeda,6.592527,3.291027
Alimosho, Idimu,6.588047,3.250643
Alimosho, Akesan,6.538214,3.224898
Alimosho, Ikotun,6.552627,3.268875
Alimosho, Egbe/Agodo,6.54363,3.276528
Alimosho, Ipaja North,6.608422,3.25917
Alimosho, Ipaja South,6.607854,3.284825
Alimosho, Ajon Village,6.584933,3.230247
Alimosho, Oke-Odo,6.628726,3.279553
Alimosho, Abule-Egba,6.648089,3.297666
Amuwo-Odofin,Amuwo-Odofin Housing Estate,6.465148,3.306947
Amuwo-Odofin, Festac 1,6.468134,3.263903
Amuwo-Odofin, Festac II,6.469715,3.282431
Amuwo-Odofin, Kirikiri,6.444416,3.308006
Amuwo-Odofin, Amuwo,6.453081,3.29607
Amuwo-Odofin, Ijegun,6.437362,3.263671
Amuwo-Odofin, Satellite,6.454743,3.243033
Amuwo-Odofin, Festac III,6.469975,3.293929
Apapa,Marine Rd,6.447416,3.352165
Apapa,Liverpool Rd,6.444754,3.365316
Apapa,Tincan,6.4328,3.345132
Apapa,Pelewura Crescent,6.446412,3.368513
Apapa,Ijora-Oloye,6.465141,3.368415
Apapa,Posukoh,6.418647,2.884782
Badagry, Awhanjigoh,6.413532,2.891847
Badagry, Ibereko,6.453612,2.95686
Badagry, Keta-East,6.419392,2.742752
Badagry, Iworo Gbanko,6.437218,3.044867
Badagry,Ilogbo-Araromi,6.48744,3.043063
Badagry, Ikoga,6.497351,2.935735
Badagry, Iya-Afin,6.460546,2.893485
Epe, Lagbade,6.580154,3.978512
Epe, Popo-Oba,6.582116,3.979059
Epe, Oke-Balogun,6.591169,3.985647
Epe, Ajaganabe,6.587253,3.970543
Epe, Ise/Igbogun,6.411325,4.277056
Epe, Abomiti,6.480978,3.994163
Epe, Ago Owu,6.657958,3.751472
Epe, Ejirin,6.614012,3.893119
Eti-Osa,Victoria Island,6.429062,3.42176
Eti-Osa, Ilasan Housing Estate,6.434793,3.493963
Eti-Osa, Lekki,6.445014,3.53528
Eti-Osa, Ikate,6.434778,3.481892
Eti-Osa, Ilado,6.444832,3.44281
Eti-Osa, Ajah,6.4649,3.57239
Eti-Osa, Sangotedo,6.453732,3.627351
Eti-Osa, Ado,6.483879,3.574006
Eti-Osa, Obalende,6.44964,3.411489
Ibeju/Lekki,Ibeju,6.486409,3.888831
Ibeju/Lekki, Orimedu,6.440881,3.909052
Ibeju/Lekki, Iwerekun,6.430557,3.729665
Ibeju/Lekki, Lekki I,6.440709,3.954551
Ifako-Ijaye,Ijaye,6.63927,3.339815
Ifako-Ijaye, Karaole,6.647844,3.331003
Ifako-Ijaye, Oyemekun,6.636237,3.329599
Ifako-Ijaye, Fagba,6.658951,3.323245
Ifako-Ijaye, Old Akute Road,6.660512,3.328291
Ifako-Ijaye, Iju Isaga,6.669737,3.320096
Ifako-Ijaye, Iju-Obawole,6.666453,3.339591
Ifako-Ijaye, Abule-Egba,6.650656,3.286499
Ifako-Ijaye, Ijaiye/Ojokoro,6.665315,3.304339
Ifako-Ijaye, Alakuko/Kollington,6.682311,3.27814
Ikeja,Anifowoshe,6.598774,3.33759
Ikeja, Ojodu,6.631572,3.351258
Ikeja, Alausa,6.620943,3.361071
Ikeja, Oregun,6.60483,3.366655
Ikeja, Airport,6.578066,3.320928
Ikeja, Ipodo,6.596283,3.342972
Ikeja, Adekunle,6.571298,3.355626
Ikeja, Adeniyi Jones,6.610148,3.344608
Ikeja, Ogba,6.624938,3.344204
Ikeja, Oke-Ira,6.64379,3.349542
Ikeja, Military Cantonment,6.573997,3.362257
Ikeja, GRA,6.579006,3.349415
Ikeja, Opebi,6.592152,3.354748
Ikorodu,Isele I,6.621157,3.496896
Ikorodu, Aga,6.60372,3.50513
Ikorodu, Ipakodo,6.605135,3.484522
Ikorodu, Imota,6.665886,3.67212
Ikorodu, Isiu,6.657618,3.623617
Ikorodu, Igbogbo,6.600882,3.519762
Ikorodu, Baiyeku,6.539982,3.554403
Ikorodu, Ijede,6.571858,3.595726
Ikorodu, Odogunyan,6.675131,3.512743
Ikorodu, Erikorodu,6.648245,3.545557
Ikorodu, Agbala,6.642007,3.515818
Ikorodu, Igbaga,6.674482,3.591686
Kosefe,Ifako,6.56185,3.395181
Kosefe,Anthony,6.564417,3.370324
Kosefe,Maryland,6.577626,3.366649
Kosefe,Ajao Estate,6.54607,3.324566
Kosefe,"Ketu, Kosofe",6.597482,3.389779
Kosefe,Ojota,6.586329,3.385043
Kosefe,Oworonshoki,6.552963,3.40099
Kosefe,Magodo Phase I,6.636083,3.382242
Lagos Island, Oluwole,6.455204,3.385636
Lagos Island, Idumota,6.46344,3.386293
Lagos Island, Oju-Oto,6.463657,3.387996
Lagos Island, Oko-Awo,6.458664,3.388533
Lagos Island, Agarawu,6.458158,3.388639
Lagos Island, Iduntafa,6.463224,3.392543
Lagos Island, Ilupesi,6.460219,3.390409
Lagos Island, Isale-Agbede,6.457983,3.391021
Lagos Island, Olosun,6.452782,3.390239
Lagos Island, Olushi,6.453789,3.393016
Lagos Island, Popo-Aguda,6.452425,3.392765
Lagos Island, Anikantamo,6.457563,3.393969
Lagos Island, Oko-Faji,6.455494,3.39354
Lagos Island, Eiyekole,6.455797,3.396359
Lagos Island, Onikan,6.444828,3.405026
Lagos Island, Sandgrouse,6.447824,3.397084
Lagos Island, Epetedo,6.456994,3.40002
Lagos Island, Lafiaji,6.447621,3.41511
Lagos Mainland,Otto,6.47292,3.380012
Lagos Mainland, Olaleye Village,6.491566,3.372853
Lagos Mainland, Maroko,6.500023,3.386987
Lagos Mainland, Ebute Metta,6.481697,3.377144
Lagos Mainland, Oyingbo Market,6.480453,3.38456
Lagos Mainland, Glover,6.48931,3.384352
Lagos Mainland, Oko-Baba,6.487682,3.390101
Lagos Mainland, Oyadiran Estate,6.502833,3.38315
Lagos Mainland, Alagomeji,6.499173,3.380109
Lagos Mainland, Iwaya,6.505637,3.392195
Lagos Mainland, Yaba,6.506849,3.368825
Lagos Mainland, Igbobi,6.527911,3.374628
Mushin,Alakara,6.525624,3.366091
Mushin, Idi-Oro,6.523426,3.348537
Mushin, Odi-Olowu,6.527852,3.361497
Mushin, Babalosa,6.531425,3.355126
Mushin, Ojuwoye,6.536135,3.356711
Mushin, Ilupeju,6.558386,3.359506
Mushin, Olateju,6.533533,3.359739
Mushin, Mushin,6.531385,3.346318
Mushin, Papa-Ajao,6.545021,3.3418
Mushin, Ilasamaja,6.520902,3.335183
Mushin, Babalosa,6.530376,3.355484
Mushin, Idi-Araba,6.517799,3.353809
Mushin, Itire,6.507582,3.332457
Mushin, Ilupeju Industrial Estate,6.552551,3.360045
Ojo,Ojo Town,6.459408,3.216507
Ojo, Okokomaiko,6.472823,3.188766
Ojo, Ajangbadi,6.46272,3.167226
Ojo, Ijanikin,6.494101,3.137732
Ojo, Etegbin,6.460677,3.142131
Ojo, Idoluwo,6.463064,3.112936
Ojo, Sabo,6.462942,3.171691
Oshodi/Isolo,Oshodi,6.557644,3.349874
Oshodi/Isolo, Orile-Oshodi,6.553645,3.337005
Oshodi/Isolo, Isolo,6.53494,3.323094
Oshodi/Isolo, Ajao Estate,6.548023,3.323702
Oshodi/Isolo, Mafoluku,6.555566,3.332735
Oshodi/Isolo, Sogunle,6.578775,3.341574
Oshodi/Isolo, Okota,6.508177,3.311138
Oshodi/Isolo, Ishagatedo,6.521319,3.325296
Oshodi/Isolo, Oke-Afa,6.531208,3.312262
Oshodi/Isolo, Ejigbo,6.552579,3.293826
Somolu,Onipanu,6.533223,3.372078
Somolu, Palmgrove,6.541272,3.36735
Somolu, Ijebutedo,6.542592,3.367777
Somolu, Alade,6.535118,3.376996
Somolu, Bajulaiye,6.530775,3.383961
Somolu, Lad-Lak,6.542336,3.38417
Somolu, Ilaje,6.533497,3.396495
Somolu, Akoka,6.525472,3.391726
Somolu, Igbobi,6.52791,3.374597
Somolu, Fola Agoro,6.527015,3.380927
Somolu, Gbagada Phase I,6.547468,3.377066
Somolu, Obanikoro,6.548621,3.370237
Somolu, Gbagada Phase II,6.549606,3.387925
Somolu," Bariga, Somolu",6.534636,3.384823
